,beer,score,style,abv,rating,cleaned_review
2130,Alter Ego,100,IPA - New England,6.8%,4.17,"Another one of the beers picked up from Treehouse during the late October trip to New England. This review is written after having the beer three times, once as an extra, once fresh, once 70 days after purchase. Pours a moderately yellow haze with 3/4"" white head. Has the basic proprietary dry hopping, Mosaic and Amarillo, two heavy hitters dropping plenty of nose candy in the form of citrus, hay and passion fruit.  Taste is another winner. 50ibu levels of bitterness saturated in aroma hops keep the notes of orange and grapefruit coming. Body is light pretty much just some pale toasted malt and 2 row. Might be a mild flaking of some alternative (non barley) grains. Slight green hop burn on it, far from problematic. Can still drink multiples of it. Its good stuff but it seriously has so many equals out on the left coast that aren't hyped to the same degree. I guess when you split stuff like this between 4 breweries versus hundreds in a geographic region, its bound to happen. In the end, a good beer done thousands of similar ways by different breweries in your local area."
2131,CBS (Canadian Breakfast Stout),100,Stout - American Imperial,11.3%,4.38,"2019 series. Bourbon, maple syrup, chocolate and coffee. This beer truly is world class. I would compare the mouthfeel to drinking chocolate milk. It is that creamy and delicious."
2132,Black Tuesday - Rum Barrel-Aged,99,Stout - American Imperial,18.9%,4.15,750 into snifters. split 10 ways as befits a BT Pours dark brown and oily but translucent
2133,Bourbon County Brand Stout,100,Stout - American Imperial,14.7%,5.0,"Well there’s a lot of hype surrounding this beer. Big brew that “sold out” to anheuser Busch but people still flock to get it. The original bourbon barrel aged stout that so many others have copied. I finally found it in a local shop I’ve never been in before and they had six on the shelf. $15. I am drinking the regular flagship 2020 vintage so the bottle isn’t very old. Poured out into a snifter as suggested a deep dark brown with very little head retention. Smell is absolutely delectable. One of the best smelling beers I’ve experienced. It’s very richly bourbon, sugary, maple syrup and molasses. Just wonderful. Really makes me want to drink it. So I do. And it’s fanfuckingtastic. Rich fudge, maple, chocolate, vanilla, smoked out leather. And a huge chord of warming bourbon that fills the mouth a good half minute after swallowing. And mouthfeel is thick and juicy, moderate carbonation. Overall I’m impressed, and I love big stouts like this so I’ve had a fair number to compare it to. This brew is like an old rich guys high backed leather chair sitting in front of the fire wearing an ascot and smoking a fine cigar kind of delicious. I’ll definitely be returning to this again for special occasions."
2134,Upper Case,100,IPA - New England,9%,4.53,"Tasted from can. Pours a hazy gold with white head. Aroma is tropical fruit with lemon. Taste is moderate to heavily bitter. Flavors of lemon, mango, melon, pineapple, resin, caramel. As almost all of Trilliums beer very well done."
2135,Alter Ego,100,IPA - New England,6.8%,4.29,"Canned 8/20/20. Tasted 9/17/20. Surprising that it's taken me this long to procure an Alter Ego. This is a really yummy beer, but it's not as rich or flavorful as many other Tree House offerings. Some folks really loved the smell of Alter Ego, but I found this to be the weak spot in this beer. It was a little murky and sour for my nose. But the taste was delicious, with a nice balance of dank bitterness and sweet/citrus fruit flavors. The feel, while a touch on the light side, was very smooth. The look was a slightly hazy orange - hazier than Bright, but less hazy than most other TH IPAs."
2136,Flora Plum,100,Farmhouse Ale - Saison,5%,4.44,"2018 release. A: Pours a very light pale, hazy, kind of berliner-like, with a cap of bright white head which quickly fizzles out to a sharp ring. Nicely effervescent. Minimal retention and no lacing. S: Moderate sour plum and grainy wheat, hefty amount of barnyard funk and a hint of spice. T: Rich juicy plum and wheat, light earthy funk, finishing with a crisp medium-light tartness on a fairly lengthy finish.  M: Medium-high, somewhat sharp carbonation. Light bodied. O: Tasty, refreshing, drinkable, and exceptionally well balanced. The sourness is restrained and the fruit is delicious."
2137,Aurelian Lure,99,Wild Ale,5.4%,4.49,"(From a 4 oz. tasting of batch 3.) Cloudy but representative apricot color, and the fruit comes through on the nose in a nice reserved way, and then the taste stays right in step with the pace and expectation of the lead-in. I'm not a fan of sours and citrus-forward beers, so this sweeter fruit theme is more to my liking and is a beautiful offering for the type."
2138,Doubleganger,100,IPA - New England,8.2%,4.1,"16 ounce can in a beer glass. It looks like a glass of peach juice. Modest white cap, decent lacing. Citrus, tropical, dank, alcohol, wet dough malt aromas. Taste follows the brewer’s description. Tropical fruits, citrus in the form of lemon rind, mango, earthy. Juicy medium body. Evidence of alcohol. Bittersweet. Not bad, though If I’m going for DIPA, I’ll look elsewhere."
2139,Fort Point Pale Ale - Mosaic Dry Hopped,99,Pale Ale - American,6.6%,4.35,Thank you CanConPhilly for this
2140,Dinner,100,IPA - Imperial,8.2%,3.99,"On tap in an Imperial style pint glass. A nearly clear golden colored brew with pure white cap, 1F, light sticky lacing. Tropical and citrus fruit aromas. Some grapefruit and tangerine with mango. There’s the obligatory onion smell common in an IPA of its abv. A bit dank. Mango and tangerine, pine, citrus rind. Some caramel sweets. Medium bodied, minimal hop bitterness. Mellow drinker with no alcohol burn. Citrus rind is present in the finish with some malt backbone. At 8.2% abv, it’s pretty clean. Good enough, but didn’t come close to the hype."
2141,The Rusty Nail,100,Stout - Oatmeal,13.3%,4.65,2020 vintage
2142,Assassin,100,Stout - American Imperial,12%,4.05,"Bottle from Batch 1 (Red Wax). Thick black pour with a small tan head and low carbonation. Intense rye, vanilla, and oak aromas. Big chocolate, roast, fudge, cocoa, and oak. Mild booze, licorice, and dark fruit. Sweet flavor of whiskey and vanilla. Chocolate, fudge, and dark fruit. Some alcohol, hints of licorice, and a nice coffee bite on the finish."
2143,Plead The 5th - Bourbon Barrel-Aged,100,Stout - Russian Imperial,11%,4.33,2013 vintage
2144,Lou Pepe - Framboise,100,Lambic - Fruit,5.5%,4.68,2013 vintage.
2145,Fyodor,99,Stout - Russian Imperial,13.1%,5.0,"Drinking tonight at a share with a few buddies and we have been trying to get this for a long time. Boy oh boy was it worth the wait. Chocolate, coffee, caramel. Great!"
2146,Black & Wild,99,Wild Ale,10%,4.99,"A - Dark muddled brown and red coloring with minimal small tan head that recedes back into the glass. Nice retention here. S - Cinnamon, Cherries, and whiskey dominate the nose followed by notes of funk and sourness.  T - Taste follows the nose with a blast of cherries that integrate well wight he tartness followed b notes of cinnamon whiskey oak and chocolate and vanilla all blend together from the 2nd use BA Abraxas Barrels M - Mouthfeel is spot on here with a medium bodied crisp mouthfeel and finish. Can't ask for much else here O - I am just astounded at what Corey has put out.... this and Oude Fermier and truly masterpieces that deserve the hype. This is comparable to a VSB type quality beer and perfectly executed for the style that it resides in. If you can get this, seek this out with confidence Re-review with a much larger pour. This beer is one of the most complex interesting beers that has ever touched my lips. "
2147,Bourbon County Brand Stout,100,Stout - American Imperial,14.7%,4.71,"Pours vantablack in color with a somewhat thin espresso head with decent retention; bitchin legs on the side of the glass. This beer has a lot of complexity... Smells rich of roasted malts, vanilla, dark chocolate, dark fruits, bourbon, oak, fair amount of hops, sweet, boozy. Taste very much follows the nose, has almost a spice like warming aspect to it, the booze is all there. Full-bodied, low carbonation, super warming, syrupy, thick, oily, chewy... Really quite phenomenal. A stout worthy of a celebration."
2148,Heady Topper,100,IPA - New England,8%,4.77,Pours only slightly hazy with a good carbonation. The overall taste is smooth and slightly sweet. it has a slight lean toward orange and mango with good mouthfeel. It defies the 8%.
2149,Framboos,100,Lambic - Fruit,5%,4.46,"2014 bottle poured into a bulb. Beautiful color...deep ruby red. Smells of funky raspberry jam. Taste isn’t as expected as I was expecting more fruit. There’s fruit there just not as jammy as I had hoped. Still outstanding though. Feel is nice. What you’d expect for this style. Overall, excellent beer. So happy I got to try. Thanks Ray for sharing."
2150,Samuel Adams Utopias,100,Strong Ale - American,28%,5.0,"Not a beer, but an experience. Got my hands on a 2019 bottle. Don’t know if it will last out the year. I’m not going to describe it terms of flavors, more of what it reminds me of. It’s like a finely aged twenty year old port or a cognac without a big alcohol burn. It’s smooth, it’s rich, it’s bold and big and boozy and thick and just all around amazing. This was a long time want, and it lives up to everything I’ve wanted it to. Simply one of the best beers I’ve ever had."
2151,Framboos,100,Lambic - Fruit,5%,4.58,"Season 17|18 Blend No. 16 - drank on February 17th, 2020. Not quite the fruit-forward framboise that I'd expected, Framboos has quite a lot more oak and sourness than the tart berry that I'm accustomed to. The nose is wonderful, and the barrel plays well with the tartness. Beautiful pour, though not quite so dark as the krieks and framboises I'm more experienced with. Quite good."
2152,Coolship Red,99,Lambic - Fruit,6.2%,4.43,"12.7 oz bottle into a tulip glass. Pours a cloudy burgundy wine color with a large effervescent pink head. Little retention or lacing as expected of the style. Bubbles for days. The aroma is fresh raspberry jam, blackberry yogurt, lemon zest, grass and hay, and a good amount of funk. There's a bit of oak and vanilla as well. The flavor definitely brings the tart: Lots of raspberries, black cherries and red wine vinegar, with plenty of lemon zest, pears, blackberries and lime juice. There's a wave of funk and grassiness before the oak chips and vanilla notes finish things off on a sweet and earthy note.  The feel is medium-light bodied with an exorbitant amount of effervescent carbonation. Very crisp and exceptionally dry on the finish. Overall, this is a fantastic...lambic? I suppose that's the proper style but I wouldn't bat an eyelash if this was labeled as a wild ale. Regardless, if you're looking for a fruit beer or a wild ale, this one is going to be right up your alley."
2153,Medianoche - Coconut,99,Stout - American Imperial,14.1%,4.33,"650ml bottle, snifter glass. Thick and opaque black body, one finger mocha head, good retention. Minimal lacing. Lots of coconut flakes. Smell is sweet, damp coconut water sweetness, big bourbon and oak, whiskey heat, vanillin, milk chocolate. Smooth and creamy milk chocolate soaked in bourbon, slight vanillin, sweet coconut water throughout. A little bit of toasted coconut as well. Full bodied, creamy and thick, viscous and chewy, good carbonation, coconut and bourbon heat all the way through to the end."
2154,Leaner,99,Farmhouse Ale - Saison,8%,4.74,Hazy yellow color without much head. Nose is like wild peach with fresh picked peaches. Taste is a lot of tartwith a lot of peaches. Feel is very full and enjoyable. This is a fantastic beer.
2155,Very Hazy,100,IPA - New England,8.6%,4.65,Haze vs Very Hazy side by side 
2156,Mornin' Delight,100,Stout - American Imperial,12.8%,4.77,"P: deep brownish black with a slight brown head which dissipates, stayed a bit stronger in the draft Bergson  A: Strong maple syrup goodness with French toast. Draft was pure French toast T. Sweet maple syrup up front followed by a strong roasted coffee and then gets more mapley on the back end. The coffee was a bit lost in the draft version but I did not miss it.  M: nothing bad, nothing great.  O: this is definitely a quality beer. It’s pushing to be overly sweet but the coffee works to balance it well. This definitely would be superb in a barrel."
2157,All That Is And All That Ever Will Be,99,Stout - Sweet / Milk,6.5%,4.18,"Canned 11/27/19, “cause if I were here & you were there, I’d meet you in between” This is a seriously sweet and chocolate-heavy beer. It tastes like tootsie rolls. Delicious roasted malt and obviously a ton of dark chocolate added, which makes this a special beer that’d I’m glad to have tried but won’t buy again."
2158,Scaled Way Up,100,IPA - New England,8%,4.36,"Canned on 02/09/18, 10:07:39. Pours an awesome orange color, hardly any head, it dissipates quickly. The nose is sweet and tropical. Lots of mango, hints of passion fruit , citrus throughout. Not getting any bitterness or booze. Very aromatic. A great balance of flavors hits right away. Lots of bitter hops upfront, earthy piney focus. As it settles your get more citrus flavors, namely grapefruit. While I do wish it was just slightly juicier, I love the contrasting profiles of the nose and flavors. Maybe having had this just a little fresher would have given me that fruitier presence. Pretty thin body, very crisp with a sharp, effervescent carb. Smooth finish."
2159,Double Dry Hopped Mylar Bags,99,IPA - New England,8.5%,4.23,"Pours a hazy yellow orange color with a medium bodied white colored head that laces the glass nicely on the way down. Smells of sweet toasted malts then a big floral/piney and then mainly grapefruity hops. Tastes of sweet toasted malt and then mainly grapefruity hops and a hint of melon in there as well. Smooth, velvety, nice amount of carbonation. Overall, excellent beer!"
2160,Heady Topper,100,IPA - New England,8%,4.49,"look: light orange, just a little hazy smell: floral,  taste: piney and bitter on first sip, some apricot and honeydew after a few more sips,  feel: smooth, medium body, finish is bitter overall: I feel disappointed, this beer is overrated I think"
2161,Imperial Biscotti Break - Bourbon Barrel-Aged,100,Stout - American Imperial,11.5%,4.18,"This was a significant improvement on the base beer. Like the base, it tastes of licorice, raisins, and almonds. Some chocolate comes through as well. Its very rich on the nose and flavor. The base tastes course and artificial to me, but the bourbon barrel helps to smooth that out. I get a little vanilla from the barrel and I really like how the bourbon integrates with the base beer. The bourbon flavor is pleasant without excess booziness. The mouth feel is on the lighter side of medium and there is a little chalkiness that detracts from the feel. Overall, its a very good beer with a few flaws."
2162,Flora,99,Farmhouse Ale - Saison,4.8%,4.57,"Unsure of vintage. Poured into a HF bulb. Bright golden orange/yellow. Small head. Smells of oak and subtle funk. Some wine characteristics there as well. Flavor is so damn good. Some funk, tartness, white whine characteristics and oakiness. Amazing. Feel is spot on for the style. Lots of bubbles and very refreshing. Overall, a fantastic HF beer. Thanks George for sharing."
2163,Medianoche - Coconut,99,Stout - American Imperial,14.1%,4.9,Had this at a share in line for BA Chainsmoker....had been meaning to track it down! This beer was heavy on the coconut! Very impressive! Needing more!!!!
2164,Very Hazy,100,IPA - New England,8.6%,4.5,"Pours a very hazy (ha) orange color with a very tall head on a gentle pour with long retention and clumpy lacing. The smell is tangerine, grapefruit, and citrus peel. The taste is very tropical forward with some dank, earthy hops. The finish is bitter with a nice malt presence. The mouthfeel is like a pillow - low/medium carbonation and medium/thick body. The finish lingers. Overall this is excellent. It has a beautiful mouthfeel and a great blend of flavors."
2165,Hellaboozie (Bourbon Barrel Aged Dark Lord Imperial Stout),100,Stout - Russian Imperial,15%,4.9,"Appearance - The beer poured dark color with a creamy mocha head topping off the pour.  Smell - The sweetness of Dark Lord met with bourbon. The nose was sweet, but not cloying. Taste - What made this beer great was the sense of balance. The cloying, soy sauce-like, sweetness that many associate with regular Dark Lord is balanced with bourbon. What became of the combination is smooth sticky heat.  Mouthfeel - The beer was silky smooth with light carbonation and a slick sweetness. The body did not seem as thick as some of the other variants.  Overall - It is amazing what a plain bourbon barrel will do to Dark Lord."
2166,Bad Boy,99,IPA - Imperial,9%,4.91,Need this again soon! Amazing dry hop that Alpine is known for. Smooth double ipa that starts with an amazing smell and ends with the perfect finish. My favorite double ipa!
2167,Coffee Abraxas,99,Stout - American Imperial,11.5%,4.45,"I'm a coffee lover and I don't think I could last a day without it. I usually drink four or five coffees a day, and oftentimes, it looked as like my coffee grinder couldn't keep up. I was surfing the internet during my work break and I stumbled across a coffee-related site, [url]https://www.linlin.in.th/coffee-grinders/[/url], I saw they have a big plethora of coffee-related products so I ordered a small bag of coffee beans to see if my coffee would taste better. I was satisfied with the taste of the coffee and now I'm thinking about buying a coffee grinder since the pricing is decent."
2168,Ghost In The Machine,99,IPA - New England,8.5%,4.31,"Pours a hazy orange juice color smaller off white head, leaves some good sticky lace. Aroma is big citra notes just like you would imagine. Grapefruit, pinnapple, orange light herbal /pine bitterness. Taste is big citrus pinnapple, grapefruit, orange with light veggy bitterness with some herbal hints. Good malt base petty good testing IPA even if it's not as yummy as the hype led me to believe, still a solid IPA with a great nose. Mouhfeel is medium with medium carbonation. Overall an aromatic IPA, that's pretty damn solid."
2169,Aaron,100,Barleywine - English,9%,4.24,"Vintage: 2016 Appearance: Pours mahogany with a one finger beige head; dots and a few streaks Smell: Dark fruit (plum, cherry, and raisin) with toffee and Bourbon tones Taste: Toffee foward with the plum, raisin and, in particular, cherry emerging; there is an unusual herbal tone that is also in the mix; hints of Bourbon barrel, through the middle), with the sweeter fruit tones driving home the finish Mouthfeel: Full bodied with moderate carbonation; a touch of warmth in the gullet Overall: I get the reputation of Hill Farmstead and I have had some very good beers from them; I just don't think this is a top notch English barleywine; I like the dark fruit element (and that is creative) but this needs some hop tones to balance the sweetness - not American over the top hops; just some English hops and toffee to be more authentic to the style"
2170,Blessed,100,Stout - American Imperial,14%,5.0,"Pours a little oily, pitch black in color with a small dark brown head, which recedes to a thin layer of lacing almost instantaneous. This smells of wood enriched dark chocolate, fudge covered molasses and toasty coconut. Additional aromas of flowery, ice cream sweet vanilla bark waft into the the nose, together with cinnamon, old, burned oak and a lighter, meaty smoke. This drinks thick, showcasing the beer‘s decadent body in a marvelous way, with almost no carbonation to speak of, but a creamy, smooth mouthfeel. Tastes of sweet coconut bark, and a melange of even sweeter vanilla and toffee, effectivly toned down by balancing bitter chocolate and an uprising Bourbon barrel presence. The oak barrels become more resounding then, joined by notes of black peppers, spicy licorice and molasses among a handful of ash. Finishes a little warmer, maintaining its intriguing interplay between the powerful barrels and the spicy, sweet adjuncts, topped off by brownie batter and well made, boozy pralines. This beer hits the spot. Its mouthfeel is simply smooth and decadent, revealing layers upon layers of whipped cream. This highlights especially the vanilla in this beautifully, which manages to gain a fantastic, sugary and floral depth which then gets balanced by the dry, oaken Bourbon barrels. The result is simply a truly complex and fulfilling imperial stout which leaves nothing else to desire."
2171,Doppelganger,100,IPA - New England,8.2%,4.53,"16 oz can split with a friend, poured into a snifter. An OJ and tropical fruit bomb with a noticeable but not cloying malt backbone. Just a hint of pine to add complexity. Impeccably smooth and pillowy mouthfeel with no trace of alcohol despite the 8.2% abv. Overall a truly stellar (D)NEIPA from TH."
2172,Montmorency Vs Balaton,99,Wild Ale,6.1%,4.46,"Pours a deep red with low, pinkish foam. Smell is tart with huge notes of cherries, backed by notes of almonds, raspberry jam and cherry marmalade. A hint of grass and lemon as well. Taste is sour, with controlled acidity and just a ton of cherries upfront. The back is balanced out with notes of almonds, raspberries, lemon, cherry marmalade and just a smidge of lemon peel bitterness. Mouthfeel is medium, well carbonated. Overall, a terrific sour, great balance and all the cherries you could ever want."
2173,Darkness,100,Stout - Russian Imperial,12%,4.46,"2020 vintage enjoyed in January 2021. Pours a dark brown color with beige edges and over a finger of tan head. The nose has notes of roasted malts with a touch of smoke. The flavor is complex - cherries and raisins meld nicely with the roast, dark chocolate and mild coffee. The body is NOT thin but also not as thick as I imagined it might be. The mouthfeel is creamy."
2174,Montmorency Vs Balaton,99,Wild Ale,6.1%,4.36,"L - Nice translucent cherry red appearance, almost no head that lingers"
2175,Emerald Grouper,99,IPA - Imperial,9.5%,4.12,"Drank from a 1 pint, 6 fl. oz bottle purchased at Cambridge Wine & Spirits, Cambridge, MA"
2176,It Was All A Dream,100,Stout - American Imperial,17%,4.88,"Look: oil black, thick khaki head with gorgeous lacing"
2177,Everett Porter,100,Porter - American,7.5%,4.63,"This is an extremely good beer. Drank it back-to-back with a 2018 Victory at Sea and in no way does this take a back seat. Dark brown, half-finger head with an aggressive pour. Perfect roasty nose. Not coffee, not shoe leather, not chocolate, maybe a combination of all three? Not sure but a very pleasant and unique aroma. I love this beer. Medium mouth feel, equally superb after an hour in the refrigerator as it is as close to room temperature. Easily sessionable. goes great with semi-sweet chocolate. My can was about 4 months old. I've also consumed this extremely fresh, loses nothing with age although the can recommends to drink fresh. Recommend highly and also recommend a trip to the brewery. Superb value at six 12-ounce cans for $16."
2178,Black Tuesday - Rum Barrel-Aged,99,Stout - American Imperial,18.9%,3.99,"Reviewed from notes. Poured from a 750 mL bottle into a Brooklyn Brewery tulip glass. A: Quite black, nearly opaque – though it looks fairly thin during the pour. Forms a thin tan head, and almost no visible carbonation. S: Rum, spices, wood and vanilla, chocolate, roasted malts, and ethanol burn. Pretty much exactly what you'd expect from this. Maybe a bigger chocolate aroma. T: Rum, spices, chocolate and sweet sticky malts. Vanilla and woody dryness with ethanol heat, leather and mild dark fruit. Ethanol and rum spices with mild chocolate in the hang. M: The body seems a bit thinner than expected. The alcohol burn is significant, but not as much over-the-top heat as you might think given the listed ABV. Still, it's very “rummy”, and some sips just seem like chocolate-flavored rum. Low carbonation sensation. O: Good, but I'm not sure I like it as well as the regular bourbon version. Very rummy, and sweet. I’ll file this under the long and growing list of beers that I don’t think the rum barrel treatment was the way to go."
2179,Fyodor,99,Stout - Russian Imperial,13.1%,4.29,Brewed 1/25/2018. Had trouble removing the cork and had the resort to a corkscrew. Poured most of a 500 ml bottle into a DFH tulip. The body was as dark as Rasputin's soul with an ample tan head. Drinking in a 58 degree room everything got better as it reached room temperature. At first everything seemed thin with the char dominating but eventually the other flavors prevailed. Never specifically noticed the anise in smell or taste but lots of dark fruits and barrel were present. Mouthfeel was fine for a big stout. Maybe I've been spoiled by BCBS and Jackie O's barrel aged stouts but this just didn't deliver what I was hoping it would. Maybe I'll try it again to see if this was just a subjective one time thing. It wasn't bad by any reasonable criteria but just wasn't the knock it out of the park experience I was hoping for.
2180,Upper Case,100,IPA - New England,9%,4.45,"Draught pour at The Smoke Shop. Nose is mute (opens up a bit once warm) , but the taste explodes with tropical fruit, papaya, guava, passion fruit, mango, kiwi, and some faint citrus. Creamy feel on the tongue and swallow, some ABV burn that drys the palate. Damn delicious brew, just wanted more from the nose."
2181,Fort Point Pale Ale,99,Pale Ale - American,6.6%,4.19,**
2182,Damon (Bourbon Barrel Aged),99,Stout - Russian Imperial,10.5%,4.74,"This one pours a very dark black color, with a small head, and a little bit of lacing. This one smells like roasted malt, caramel, coffee, oak, bourbon, vanilla, smoke, leather, maple, and dark chocolate fudge. This is just about as good as it gets for non-""adjuncted"" barrel-aged stouts. There's a ton going on here - it's primarily deep and fudgy. There's also caramel and maple sweetness, a bit of smoky bitterness, heavy roast, barrel vanilla, oak, toffee-heavy bourbon, and a little bit of coffee. This is hard to beat. This is silky, but not super thick, with a very high level of drinkability. It just feels good in your mouth, you know...nothing weird? I can see why Shaun thinks this is one of only a small handful of beers that he has nailed completely. It's really quite amazing. I bet Damon was a really loyal and excellent friend - to inspire a beer this well-crafted."
2183,Assassin,100,Stout - American Imperial,12%,4.64,"2019 vintage poured on dec 19, 2020  Pours a viscous used motor oil color with a mocha color head that leaves minimal lacing.  Nose is of dark fruit, vanilla, leather, dark chocolate, and faint oak. This is culmination of great barrel and base beer.  Taste follows nose with subtle dark fruit, dark chocolate, lingering vanilla and barrel character. The taste once again really showcases the great use of barrels and base stout.  Feel is where this beer falls short. It is slightly over carbed that thins out the beer more than desired on the pallet. However, beer is still medium body. As this sits for 45+ mins, the carb starts to dissipates and leaves a more velvet mouth feel.  Overall, excellently crafted barrel aged stout that showcases the use of great barrels and stout recipe. Unbelievable that this is non adjucted. I think the beer falls short on feel(but gets better once it sits open) but I would gladly drink another! I also do not think it is worth the price of admission, unless you are able to get it directly from the brewery."
2184,Fort Point Pale Ale - Mosaic Dry Hopped,99,Pale Ale - American,6.6%,4.13,"Can from the brewery in Fort Point in Boston, MA, whilst in town for EBF. Pours a hazy bright orange with a white fluffy head and soft lacing, smells like guava-peach grape must and pine resin dipped citrus candy, taste is biscuity malt sweetness with hints of nectarine and tangerine, finishes with a mildly bitter white wine mustiness, light bodied. A dry and fruity pale ale."
2185,Swish,100,IPA - New England,8%,4.43,"From a 16oz can dated 9/29/20 into a pint glass. Props to Bissell Brothers for one of the coolest cans I've seen in a long time. All black with silver lettering and logo and with a beautiful black can top. Pours an opaque pale yellow with about one finger of thick, foamy white head. Amazing retention and decent lacing. Smells of tangy oranges and tangerines with a bunch of grapefruit and pineapple mixed in. Picking up some mango as well. Taste follows the smell. Juicy! Tropical and citrus fruits. Also a decent tangy bitterness that shows up well after the swallow. Soft mouthfeel. Low to medium carbonation. Surprising bitter aftertaste. Overall, this beer deserves it's place on the top 250. Great brew. Thankful for a friend who visited Maine and was able to snag some of this."
2186,King Sue - Double Dry-Hopped,99,IPA - New England,7.8%,4.34,"Pours out as an opaque yellow color with a nice sticky white head on top. The smell of the beer has a nice pine and fruity aroma to it. The taste has a resin pineapple flavor going on, subtle sweetness up front and finishes on the sticky dry side. The feel is creamy up front, very soft overall and lingers in the finish. Overall it’s a very impressive beer. Definitely a fan!"
2187,Genealogy Of Morals - Bourbon Barrel-Aged,99,Stout - American Imperial,10.7%,4.74,"Fresh batch released on May 2017. Bottle splitted 4 ways. Black as night liquid with a foamy dark beige head. Nose is coffee, some notes of acidity (cherries or simply coming from the coffee?), chocolate, vanilla, bourbon, lovely! I can’t stop smelling the beer. Astonishing taste of well dosed coffee, residual sugar, milk chocolate, vanilla and bourbon, everything is so balanced, the glass clearly doesn’t last long, I would grab another bottle and drink it all! Abv% is hardly perceptible, medium to full body. One of the most amazing imperial stout I had the chance to drink!"
2188,Doubleganger,100,IPA - New England,8.2%,4.51,"Canned 6/8 This isn't shy, but it isn't a palate crusher either. Hugely flavorful without being abrasive. Dank overall, some pine, overripe tropical fruit, and little citrus rind at the end. Some sweet caramel as well. Top notch."
2189,Abricot Du Fermier,100,Farmhouse Ale - Saison,8%,4.15,"Blend #3. A: Pours a pale orange, nearly opaque, with a half finger of bright white head. Pretty good retention and a bit of lacing. S: Juicy stone fruit (apricot), horseblanket funk, oak and a bit of spice (clove), light white wine and tropical fruit. Pretty appealing. T: Medium-high sour dominates the flavor, with a decent dose of apricot, a bit of vanilla, funk, and rounded white wine. Medium length finish. M: Medium-light body with medium carbonation.  O: The fruit is a nice addition to Saison du Fermier, but the sourness is a bit high. I definitely prefer the base."
2190,Doppelganger,100,IPA - New England,8.2%,4.46,"Pours a hazy medium straw color, abundant foamy head that lasts. Huge hoppy aroma, loads of overripe mango, massive pineapple, dank guava. Some citrus as well. Remarkable. Very flavorful. Loads of ripe tropical fruits mix with pithy citrus notes. Very juicy, semi sweet with no bitterness. Good carbonation. Overall an excellent DIOA. Would buy again.  4/30/21"
2191,Oude Geuze Cuvée Armand & Gaston,99,Lambic - Gueuze,6.5%,4.35,"Bottled 20/10/16, Blend No 2 of 16/17 season. Poured at refrigerator temp from 750ml bottle to tulip glass (ps, watch the cork when opening) Look: Slightly hazy and medium golden in color, nice white head with initial pouring, but dissipates quickly to a lace. Smell: Nice bright acidic smell up front, slight woody and hint of barnyard. Taste: What a geuze should be, refreshing, acidic, and with a good amount of barnyard, more than the initial smell suggested. Barnyard increases as bottle warms up. Feel: High amount of carbonation, overall a nice and light and easy to drink Overall:. Very enjoyable, tempted to get another and age it even longer, can be up to 20 years aged in bottle."
2192,Double Sunshine,100,IPA - Imperial,8%,4.13,2186
2193,Pirate Paradise,100,Stout - American Imperial,13%,5.0,"Beautiful rum soaked brownie batter. No booze. The best beer ever, even though it doesn't taste like beer. Truly sublime. The absolute best liquid I have ever tasted or smelled, and it's not even close."
2194,Maple Bacon Coffee Porter,99,Porter - American,6.4%,4.48,Mar 2021 Siesta Key Spring Break
2195,Aaron,100,Barleywine - English,9%,4.34,"Poured from fridge temp into a snifter. Pours a dark murky brown with quickly dissipating tan head. Nose is very bourbon forward, with notes of nuts, grapes, toffee, brown sugar. Taste is amazing. Feels like a 15 year old English barley wine laced with bourbon. Has those amazing bourbon notes, along with caramel, brown sugar, maple, cherries, and figs. Has a syrupy feel to it. It tastes great, but I must say it is not my favorite BA barley wine. That's not to say this isn't amazing - just didn't live up to the hype. Mouthfeel is thick and viscous. Overall, a great BA barley wine and worth seeking out if this is your style."
2196,Abrasive Ale,100,IPA - Imperial,9.2%,4.5,"A: Pours a golden orange color with 2 fingers of head that fades down to a thin cap that leaves good lacing S: A good mix of citrus and pine up front along with some lighter tropical fruit notes and light malt T: Follows the nose. Starts off with a wave of citrus and candied hops and then picks up the tropical fruit and pine. Moderate but aggressive bitterness that is balanced by some malt. Finishes with lingering candied citrus M: Medium bodied with moderate carbonation O: A very good DIPA that is simply a classic, must-try brew. Aggressive, but still on the easier side to drink. Again, a must-try"
2197,Heady Topper,100,IPA - New England,8%,4.71,"Purchased as a 4 pk from a chilled case. Consumed about 1 month after brew date. Nice gold color with moderate haze/no floaties, beautiful white voluminous head that lasts a awhile and leaves some nice lacing. Smell was more muted than I expected given the advertised emphasis on the hops, but the flavor was very nice and complex with no single flavor dominating. This is like a whole bunch of ingredients mashed up together, but in a good way so that nothing slaps you in the face as a single ingredient carrying most of the load. Yes, I did drink some from the can but no big difference from the flavor in the glass, and this one looks so nice it is a shame not to take in the visual pleasure. Overall really nice but the cost ($18/4pk) is off-putting since other darned good IPAs can be had for significantly less."
2198,Emerald Grouper,99,IPA - Imperial,9.5%,4.15,"22oz bomber poured into a tulip glass. thanks Ray for sharing this Pours a orange lightly hazy body with a small white head that leaves a ring of retention. Smells citrusy, sweet, piney. Taste is lightly bitter with citrus zest and piney hops, a tad bit of honey with a sweet malt backbone. Medium body, easy going down for 9.5%."
